Loss,State,Policy,Hamming_distance
0.5995669990534891,0.0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",8
0.11502459948757841,0.10000000149011612,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.06104503461187468,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.10818057567161898,0.10000000149011612,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",7
0.03762226940699037,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.08569956206915574,0.0,"[1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",8
0.09723102854690524,0.10000000149011612,"[0, 1, 1, 1, 1, 1, 0, 0, 0, 0]",6
0.14693963254800071,0.10000000149011612,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",2
0.06012509490299017,0.0,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1]",0
0.0679135438994484,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.060170233757480374,0.10000000149011612,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.07966337483264231,0.20000000298023224,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.052530350864850944,0.30000001192092896,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.06659157094169114,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.06583196944862835,0.0,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",1
0.06178787816741818,0.0,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",1
0.07843843503333936,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.03809880554923628,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.07600355645048984,0.10000000149011612,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.0621993245359862,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.013592237660199163,0.10000000149011612,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",9
0.0401710269614437,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.07427623753427999,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.04526575012005629,0.10000000149011612,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.07839258943729739,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.010847357568381573,0.10000000149011612,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.07243348816518794,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.02037555273919711,0.0,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",10
0.037468880694195406,0.10000000149011612,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",9
0.03253117643243153,0.0,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",10
0.0302286926369454,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.04284885287462664,0.10000000149011612,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.06656174768411205,0.20000000298023224,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.020725224292618805,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.05582480188416111,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.03130599964972926,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.035116768044919255,0.0,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",9
0.024459393656997896,0.10000000149011612,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",8
0.008370292171544794,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.04403273281054432,0.10000000149011612,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.03635580439965236,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.020618481058781113,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.05097384259101645,0.10000000149011612,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.015782356590411065,0.20000000298023224,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.021392925451811387,0.20000000298023224,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.03414844419344944,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.02144835920717542,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.01724492450463133,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.01647551486678367,0.0,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1]",0
0.04341411286537422,0.0,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",2
0.006621477422904698,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",5
0.02977397531989036,0.10000000149011612,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1]",2
0.007867308127407026,0.20000000298023224,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.02033241912913919,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.0274712260589709,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.021005523346588006,0.10000000149011612,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.010098818727934944,0.0,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1]",1
0.02379948185548038,0.10000000149011612,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1]",0
0.005099173609095509,0.20000000298023224,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.022973029651057245,0.30000001192092896,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1]",1
0.016544167822944267,0.0,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1]",0
0.02208156591635711,0.0,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",1
0.010411250214221512,0.0,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",3
0.017026030161637576,0.10000000149011612,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.010388375875144296,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.020706782666652046,0.10000000149011612,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",1
0.012496894761284238,0.20000000298023224,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",2
0.018787323742111704,0.30000001192092896,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1]",0
0.009908766364165045,0.4000000059604645,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.012757072053975804,0.5,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",9
0.01579155767957019,0.6000000238418579,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",1
0.013528101750649668,0.7000000476837158,"[0, 0, 1, 1, 1, 0, 0, 0, 0, 0]",6
0.009342727311562857,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.031935685639275846,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.017667478271448545,0.10000000149011612,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.028765393328832545,0.20000000298023224,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.017678842916758697,0.30000001192092896,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.04392426462897703,0.4000000059604645,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.14554210740379858,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.0840183672393513,0.10000000149011612,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.11372198555704927,0.20000000298023224,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.11300606196079244,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.07880785774743337,0.10000000149011612,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.15169554776359462,0.20000000298023224,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.1607298463767961,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.48465206798957183,0.10000000149011612,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.43337485520624797,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.1797830157790976,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.34390042313292035,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.15978391187939422,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.16097545554057646,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.3856603927753284,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.4484397998773133,0.10000000149011612,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.47269243066232036,0.20000000298023224,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.037793990291688395,0.10000000149011612,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.19665457491139193,0.20000000298023224,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.822543926190864,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.107650039845133,0.10000000149011612,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.0515769631675802,0.20000000298023224,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.6356616720563375,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.422376636398454,0.10000000149011612,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.18228032424917728,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.6800218410422474,0.10000000149011612,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.7098098331003371,0.20000000298023224,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.26690091782045755,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.17303929776326754,0.10000000149011612,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.5498215918426155,0.10000000149011612,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.5626187876209849,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.8651660000984123,0.10000000149011612,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.8087435884587695,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.22820015112151282,0.10000000149011612,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.468482239057594,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.8302041116374426,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.3836220552708429,0.10000000149011612,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.24645196742980247,0.20000000298023224,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.8722067316020699,0.30000001192092896,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.9545305796879688,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.5294084639184575,0.10000000149011612,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.26666738734313444,0.20000000298023224,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.1998791623246916,0.30000001192092896,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.4856355614436012,0.4000000059604645,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.7523143943632071,0.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.9282260108584524,0.6000000238418579,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.41138526858713664,0.7000000476837158,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.5215469941444368,0.8000000715255737,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.9001868412888321,0.9000000953674316,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
2.3374862905158764,1.0000001192092896,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
1.2849892248074042,1.0000001192092896,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
1.7725348961114378,0.699999988079071,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
5.973132671442613,0.20000000298023224,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
3.989847992287366,0.20000000298023224,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.5131781696513684,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
2.9507324096866734,0.10000000149011612,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.49112327674395484,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.5823409397108188,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.3033514361236058,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.36357563021056194,0.10000000149011612,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.36193327557517296,0.20000000298023224,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.7916665739043653,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.7210147015204598,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.7378686428206152,0.10000000149011612,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.5204788456635754,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.12679720259802707,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.5790310687530962,0.10000000149011612,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.6540126137286295,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.022060024617636675,0.10000000149011612,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",2
0.7630492542474903,0.20000000298023224,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",1
0.2370207679084464,0.30000001192092896,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",1
0.20943574864858228,0.4000000059604645,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",1
0.02006975617922091,0.0,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",1
0.011997396286049344,0.10000000149011612,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",1
0.020785133392081434,0.20000000298023224,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1]",0
0.4814472526138722,0.0,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",1
0.05423185955305598,0.10000000149011612,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1]",1
0.20686012906077167,0.0,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1]",0
0.012927721882903143,0.10000000149011612,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1]",0
0.036307320247544794,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.057457570108818246,0.0,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",1
0.024458647699471148,0.0,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",1
0.0279532456865903,0.0,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",1
0.18808121667831124,0.10000000149011612,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",3
0.09114503277365316,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.027182776651656637,0.10000000149011612,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",1
0.03577992038644595,0.0,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",1
0.036644531278256176,0.10000000149011612,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.011275033299765147,0.20000000298023224,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1]",1
0.22058251137269735,0.0,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1]",2
0.06686970378849288,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.02488975013175454,0.10000000149011612,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 0]",4
0.007296661371871238,0.20000000298023224,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1]",2
0.058959841408248614,0.30000001192092896,"[0, 0, 1, 0, 0, 1, 1, 1, 1, 1]",3
0.0804921293863412,0.4000000059604645,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.016965353935217975,0.5,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",5
0.02093383909115598,0.0,"[0, 0, 1, 0, 0, 1, 1, 1, 1, 1]",3
0.08269118012769727,0.10000000149011612,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.08688698471465983,0.20000000298023224,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.01873675320672774,0.30000001192092896,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",6
0.006535031142348657,0.0,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",3
0.028338149167769444,0.10000000149011612,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.023407129708367336,0.20000000298023224,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",3
0.03445353305426835,0.0,"[0, 0, 1, 0, 0, 1, 1, 1, 1, 1]",3
0.013210325177161697,0.10000000149011612,"[0, 0, 1, 1, 0, 1, 1, 1, 1, 1]",2
0.023761491738753193,0.0,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",1
0.051148259395884965,0.0,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1]",2
0.062142659607147266,0.10000000149011612,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.057482077556722466,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.02029414651423167,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.06662388773759931,0.10000000149011612,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",6
0.057936281127702216,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.02266767603496156,0.10000000149011612,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 0]",4
0.012517425529664505,0.0,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",5
0.02125155976523274,0.10000000149011612,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1]",2
0.08387454590274142,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3
0.012695679891477574,0.10000000149011612,"[1, 1, 1, 0, 0, 1, 1, 1, 1, 1]",5
0.019563657667315937,0.0,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",3
0.015608779243455828,0.10000000149011612,"[0, 0, 1, 0, 1, 1, 1, 1, 1, 1]",2
0.023375941877361583,0.0,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1]",2
0.03420242759643877,0.10000000149011612,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1]",4
0.022992967361046945,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.02612796199872136,0.10000000149011612,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.042972683221846,0.20000000298023224,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",3
0.007967130519652255,0.30000001192092896,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1]",2
0.034466334780915986,0.4000000059604645,"[0, 1, 1, 1, 0, 1, 1, 1, 1, 1]",3
0.028497158522027277,0.0,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1]",2
0.01837921201473769,0.0,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",5
0.02135313732457078,0.10000000149011612,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",2
0.026315535135420953,0.0,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",1
0.024350575783485873,0.0,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",2
0.04018931914357726,0.10000000149011612,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.03651245322170832,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.028732303055221564,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.03712830393781642,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.048408312478215976,0.10000000149011612,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.02232654769399467,0.0,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1]",4
0.032942786417535785,0.10000000149011612,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.02910172101501196,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.017183688068403424,0.0,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",2
0.02679645318535595,0.10000000149011612,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",2
0.016297561953398265,0.0,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1]",2
0.018361982343094496,0.10000000149011612,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",1
0.03488479649813314,0.20000000298023224,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",1
0.02265420061922896,0.0,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]",1
0.047572867890149695,0.10000000149011612,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",6
0.027158239764623282,0.20000000298023224,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",3
0.010924886851142901,0.30000001192092896,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",3
0.04235730583819297,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.06097268900955832,0.10000000149011612,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.019754147559297053,0.10000000149011612,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.014760898770234121,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.02379270609174361,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.014671710994289322,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.026155072088510423,0.10000000149011612,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 1]",2
0.029425174800429943,0.20000000298023224,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1]",1
0.026372952475234357,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.01211909983578252,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.01616093443354316,0.10000000149011612,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7
0.016542221178229122,0.10000000149011612,"[1, 1, 1, 0, 0, 0, 1, 1, 1, 1]",6
